waveplate_angle,avg_current
254.5,4.1649999999999996e-09
255.0,4.21e-09
255.5,4.315e-09
256.0,4.47e-09
256.5,4.61e-09
257.0,4.69e-09
257.5,4.895e-09
258.0,4.94e-09
258.5,5.01e-09
259.0,5.2299999999999995e-09
259.5,5.4e-09
260.0,5.54e-09
260.5,5.56e-09
261.0,5.7099999999999995e-09
261.5,5.81e-09
262.0,5.985e-09
262.5,6.16e-09
263.0,6.235e-09
263.5,6.4e-09
264.0,6.425e-09
264.5,6.5e-09
265.0,6.605e-09
265.5,6.61e-09
266.0,6.7049999999999995e-09
266.5,6.76e-09
267.0,6.75e-09
267.5,6.825e-09
268.0,6.91e-09
268.5,6.9e-09
269.0,7e-09
269.5,6.825e-09
270.0,6.82e-09
270.5,6.8e-09
271.0,6.71e-09
271.5,6.6650000000000005e-09
272.0,6.57e-09
272.5,6.4200000000000006e-09
273.0,6.4e-09
273.5,6.25e-09
274.0,6.14e-09
274.5,5.985e-09
275.0,5.95e-09
275.5,5.715e-09
276.0,5.64e-09
276.5,5.43e-09
277.0,5.35e-09
277.5,5.2e-09
278.0,5.07e-09
278.5,4.98e-09
279.0,4.7800000000000005e-09
279.5,4.61e-09
280.0,4.51e-09
280.5,4.39e-09
281.0,4.2300000000000005e-09
281.5,4.07e-09
282.0,3.9e-09
282.5,3.8e-09
283.0,3.625e-09
283.5,3.57e-09
284.0,3.425e-09
284.5,3.43e-09
285.0,3.36e-09
285.5,3.205e-09
286.0,3.18e-09
286.5,3.0599999999999998e-09
287.0,2.99e-09
287.5,3e-09
288.0,2.96e-09
288.5,2.9000000000000003e-09
289.0,2.81e-09
289.5,2.7899999999999997e-09
290.0,2.79e-09
290.5,2.755e-09
291.0,2.7e-09
291.5,2.7849999999999998e-09
292.0,2.76e-09
292.5,2.805e-09
293.0,2.82e-09
293.5,2.83e-09
294.0,2.92e-09
294.5,2.95e-09
295.0,2.99e-09
295.5,3.03e-09
296.0,3.065e-09
296.5,3.15e-09
297.0,3.185e-09
297.5,3.26e-09
298.0,3.46e-09
298.5,3.53e-09
299.0,3.605e-09
299.5,3.73e-09
300.0,3.835e-09
300.5,3.96e-09
301.0,4.055e-09
301.5,4.04e-09
302.0,4.31e-09
302.5,4.32e-09
303.0,4.34e-09
303.5,4.53e-09
304.0,4.6e-09
304.5,4.83e-09
305.0,4.89e-09
305.5,5.105e-09
306.0,5.26e-09
306.5,5.325e-09
307.0,5.51e-09
307.5,5.505e-09
308.0,5.49e-09
308.5,5.6700000000000005e-09
309.0,5.81e-09
309.5,5.870000000000001e-09
310.0,5.78e-09
310.5,5.78e-09
311.0,5.895e-09
311.5,5.91e-09
312.0,6e-09
312.5,6.09e-09
313.0,5.935e-09
313.5,6.04e-09
314.0,5.985e-09
314.5,6.21e-09
315.0,6.105000000000001e-09
315.49,6.15e-09
316.0,6.23e-09
316.5,6.17e-09
317.0,6.000000000000001e-09
317.5,6.24e-09
318.0,6.02e-09
318.5,6.04e-09
319.0,6.03e-09
319.5,5.8849999999999994e-09
320.0,5.79e-09
320.5,5.835000000000001e-09
321.0,5.81e-09
321.5,5.625e-09
322.0,5.64e-09
322.5,5.51e-09
323.0,5.5e-09
323.5,5.33e-09
324.0,5.16e-09
324.5,5.22e-09
325.0,5.09e-09
325.5,4.975e-09
326.0,4.94e-09
326.5,4.81e-09
327.0,4.77e-09
327.5,4.75e-09
328.0,4.54e-09
328.5,4.43e-09
329.0,4.38e-09
329.5,4.39e-09
330.0,4.18e-09
330.5,4.1e-09
331.0,4.069999999999999e-09
331.5,4.01e-09
332.0,3.91e-09
332.5,3.96e-09
333.0,3.7850000000000005e-09
333.5,3.79e-09
334.0,3.73e-09
334.5,3.75e-09
335.0,3.72e-09
335.5,3.735e-09
336.0,3.66e-09
336.5,3.665e-09
337.0,3.65e-09
337.5,3.66e-09
338.0,3.7e-09
338.5,3.7250000000000003e-09
339.0,3.75e-09
339.5,3.765e-09
340.0,3.77e-09
340.5,3.905e-09
341.0,3.95e-09
341.5,4.025e-09
342.0,4.04e-09
342.5,4.12e-09
343.0,4.1950000000000005e-09
343.5,4.3e-09
344.0,4.385e-09
344.5,4.4e-09
345.0,4.59e-09
345.5,4.69e-09
346.0,4.835e-09
346.5,4.97e-09
347.0,5.025e-09
347.5,5.16e-09
348.0,5.375e-09
348.5,5.43e-09
349.0,5.56e-09
349.5,5.68e-09
350.0,5.86e-09
350.5,5.87e-09
351.0,6.09e-09
351.5,6.125e-09
352.0,6.21e-09
352.5,6.335e-09
353.0,6.48e-09
353.5,6.5250000000000005e-09
354.0,6.67e-09
354.5,6.68e-09
355.0,6.76e-09
355.5,6.865e-09
356.0,6.98e-09
356.5,6.995e-09
357.0,6.99e-09
357.5,7.015e-09
358.0,7.05e-09
358.5,7.01e-09
359.0,6.885e-09
359.5,6.95e-09
360.0,6.93e-09
