waveplate_angle,diode_current
N/A,6.81E-09
90,N/A
N/A,6.76E-09
N/A,6.73E-09
90.5,N/A
N/A,6.76E-09
91,N/A
N/A,6.66E-09
N/A,6.66E-09
91.5,N/A
N/A,6.62E-09
92,N/A
N/A,6.55E-09
N/A,6.44E-09
92.5,N/A
N/A,6.48E-09
93,N/A
N/A,6.40E-09
93.5,N/A
N/A,6.23E-09
N/A,6.18E-09
94,N/A
N/A,6.11E-09
94.5,N/A
N/A,6.00E-09
N/A,5.95E-09
95,N/A
N/A,5.89E-09
95.5,N/A
N/A,5.76E-09
N/A,5.76E-09
96,N/A
N/A,5.58E-09
96.5,N/A
N/A,5.45E-09
N/A,5.44E-09
97,N/A
N/A,5.24E-09
97.5,N/A
N/A,5.12E-09
N/A,5.15E-09
98,N/A
N/A,5.01E-09
98.5,N/A
N/A,4.89E-09
N/A,4.86E-09
99,N/A
N/A,4.71E-09
99.5,N/A
N/A,4.58E-09
N/A,4.45E-09
100,N/A
N/A,4.46E-09
100.5,N/A
N/A,4.30E-09
N/A,4.17E-09
101,N/A
N/A,4.24E-09
101.5,N/A
N/A,4.08E-09
102,N/A
N/A,3.93E-09
N/A,3.93E-09
102.5,N/A
N/A,3.82E-09
103,N/A
N/A,3.74E-09
N/A,3.74E-09
103.5,N/A
N/A,3.62E-09
104,N/A
N/A,3.52E-09
N/A,3.49E-09
104.5,N/A
N/A,3.38E-09
105,N/A
N/A,3.37E-09
N/A,3.32E-09
105.5,N/A
N/A,3.24E-09
106,N/A
N/A,3.13E-09
N/A,3.17E-09
106.5,N/A
N/A,3.08E-09
107,N/A
N/A,3.03E-09
N/A,3.06E-09
107.5,N/A
N/A,3.00E-09
108,N/A
N/A,2.94E-09
N/A,2.97E-09
108.5,N/A
N/A,2.90E-09
109,N/A
N/A,2.86E-09
N/A,2.87E-09
109.5,N/A
N/A,2.84E-09
110,N/A
N/A,2.85E-09
N/A,2.84E-09
110.5,N/A
N/A,2.83E-09
111,N/A
N/A,2.80E-09
N/A,2.81E-09
111.5,N/A
N/A,2.80E-09
112,N/A
N/A,2.81E-09
112.5,N/A
N/A,2.85E-09
N/A,2.84E-09
113,N/A
N/A,2.82E-09
113.5,N/A
N/A,2.93E-09
N/A,2.86E-09
114,N/A
N/A,2.92E-09
114.5,N/A
N/A,2.96E-09
N/A,2.94E-09
115,N/A
N/A,3.03E-09
115.5,N/A
N/A,3.10E-09
N/A,3.11E-09
116,N/A
N/A,3.20E-09
116.5,N/A
N/A,3.31E-09
N/A,3.29E-09
117,N/A
N/A,3.27E-09
117.5,N/A
N/A,3.38E-09
N/A,3.41E-09
118,N/A
N/A,3.41E-09
118.5,N/A
N/A,3.53E-09
N/A,3.62E-09
119,N/A
N/A,3.58E-09
119.5,N/A
N/A,3.76E-09
120,N/A
N/A,3.80E-09
N/A,3.77E-09
120.5,N/A
N/A,3.87E-09
121,N/A
N/A,4.05E-09
N/A,3.99E-09
121.5,N/A
N/A,4.18E-09
122,N/A
N/A,4.33E-09
N/A,4.30E-09
122.5,N/A
N/A,4.35E-09
123,N/A
N/A,4.53E-09
N/A,4.54E-09
123.5,N/A
N/A,4.68E-09
124,N/A
N/A,4.79E-09
N/A,4.79E-09
124.5,N/A
N/A,4.79E-09
125,N/A
N/A,5.04E-09
N/A,5.11E-09
125.5,N/A
N/A,5.06E-09
126,N/A
N/A,5.18E-09
N/A,5.27E-09
126.5,N/A
N/A,5.32E-09
127,N/A
N/A,5.58E-09
N/A,5.46E-09
127.5,N/A
N/A,5.64E-09
128,N/A
N/A,5.54E-09
128.5,N/A
N/A,5.62E-09
N/A,5.57E-09
129,N/A
N/A,5.78E-09
129.5,N/A
N/A,5.78E-09
N/A,5.89E-09
130,N/A
N/A,5.93E-09
130.5,N/A
N/A,5.93E-09
N/A,6.10E-09
131,N/A
N/A,6.07E-09
131.5,N/A
N/A,5.98E-09
N/A,6.05E-09
132,N/A
N/A,6.03E-09
132.5,N/A
N/A,6.16E-09
N/A,6.05E-09
133,N/A
N/A,5.92E-09
133.5,N/A
N/A,6.04E-09
N/A,6.06E-09
134,N/A
N/A,6.35E-09
134.5,N/A
N/A,6.17E-09
N/A,6.16E-09
135,N/A
N/A,6.15E-09
135.5,N/A
N/A,6.19E-09
N/A,6.27E-09
136,N/A
N/A,6.07E-09
136.5,N/A
N/A,6.15E-09
137,N/A
N/A,6.19E-09
N/A,6.29E-09
137.5,N/A
N/A,6.02E-09
138,N/A
N/A,5.98E-09
N/A,5.98E-09
138.5,N/A
N/A,5.95E-09
139,N/A
N/A,5.86E-09
N/A,5.78E-09
139.5,N/A
N/A,5.84E-09
140,N/A
N/A,5.86E-09
N/A,5.96E-09
140.5,N/A
N/A,5.70E-09
141,N/A
N/A,5.61E-09
N/A,5.61E-09
141.5,N/A
N/A,5.67E-09
142,N/A
N/A,5.62E-09
N/A,5.56E-09
142.5,N/A
N/A,5.49E-09
143,N/A
N/A,5.29E-09
N/A,5.27E-09
143.5,N/A
N/A,5.40E-09
144,N/A
N/A,5.27E-09
N/A,4.97E-09
144.5,N/A
N/A,5.09E-09
145,N/A
N/A,5.05E-09
N/A,5.08E-09
145.5,N/A
N/A,5.01E-09
146,N/A
N/A,4.83E-09
146.5,N/A
